ID_key,country,level,level_id,level_name,country_id,district_coop_id,community_id,district_coop_desc,comm_desc,society_desc,colcen_desc,full_name,colcen_id,mobile_num,farm_units,name,national_id
1_2_3_6136,1_2,3,6136,ATWEREBOANDA 3/6136,2,4,6136,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_649,1_2,3,649,ATWEREBOANDA II/649,2,4,649,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_650,1_2,3,650,ATWEREBOANDA III/650,2,4,650,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_661,1_2,3,661,AWUDUA/661,2,4,661,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3460,1_2,3,3460,AYAWURA/3460,2,4,3460,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3350,1_2,3,3350,BAWAKROM/3350,2,4,3350,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_712,1_2,3,712,BAWAKROM/712,2,4,712,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3097,1_2,3,3097,BENCHEMA C/3097,2,4,3097,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_750,1_2,3,750,BEPOSO/750,2,4,750,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3351,1_2,3,3351,BETHMANSO/3351,2,4,3351,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_788,1_2,3,788,BIOKROM/788,2,4,788,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_796,1_2,3,796,BOAKO B/796,2,4,796,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_801,1_2,3,801,BOAKYEKROM 1/801,2,4,801,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7952,1_2,3,7952,BOAKYEKROM/7952,2,4,7952,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_800,1_2,3,800,BOAKYEKROM/800,2,4,800,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_822,1_2,3,822,BOGOKROM/822,2,4,822,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_848,1_2,3,848,BOMPIESO II/848,2,4,848,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6140,1_2,3,6140,BONSASO B/6140,2,4,6140,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_895,1_2,3,895,BREMANG/895,2,4,895,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7478,1_2,3,7478,BROSO/7478,2,4,7478,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7330,1_2,3,7330,CANAAN/7330,2,4,7330,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_5913,1_2,3,5913,DADWEN/5913,2,4,5913,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6278,1_2,3,6278,DAMESO 2/6278,2,4,6278,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2395,1_2,3,2395,DAMESO/2395,2,4,2395,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6288,1_2,3,6288,DAWU/6288,2,4,6288,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_5930,1_2,3,5930,DOKORESO/5930,2,4,5930,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6142,1_2,3,6142,DOMPIM 1/6142,2,4,6142,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6148,1_2,3,6148,DOMPIM 2/6148,2,4,6148,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_5469,1_2,3,5469,DOMPIM I/5469,2,4,5469,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_5470,1_2,3,5470,DOMPIM II/5470,2,4,5470,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1045,1_2,3,1045,DOMPIM/1045,2,4,1045,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6300,1_2,3,6300,DOMPIM/6300,2,4,6300,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6299,1_2,3,6299,DONPIM I/6299,2,4,6299,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7260,1_2,3,7260,DONPIM I/7260,2,4,7260,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1116,1_2,3,1116,ESHIEM A/1116,2,4,1116,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7249,1_2,3,7249,ESHIEM B/7249,2,4,7249,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_5940,1_2,3,5940,ESHIEM TARKWA B/5940,2,4,5940,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3464,1_2,3,3464,ESHIEM/3464,2,4,3464,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1128,1_2,3,1128,ESSUOWIN/1128,2,4,1128,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1224,1_2,3,1224,GYAMPOKROM/1224,2,4,1224,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2771,1_2,3,2771,GYASIKROM/2771,2,4,2771,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1253,1_2,3,1253,HILL-TOP/1253,2,4,1253,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6331,1_2,3,6331,HUNI VALLEY 1/6331,2,4,6331,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6332,1_2,3,6332,HUNI VALLEY 1/6332,2,4,6332,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6333,1_2,3,6333,HUNI VALLEY 1/6333,2,4,6333,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3466,1_2,3,3466,HUNI VALLEY I/3466,2,4,3466,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7256,1_2,3,7256,HUNI VALLEY I/7256,2,4,7256,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1256,1_2,3,1256,HUNISO/1256,2,4,1256,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3465,1_2,3,3465,HUNISO/3465,2,4,3465,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2368,1_2,3,2368,KUBEKRO B/2368,2,4,2368,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1656,1_2,3,1656,MILE 5/1656,2,4,1656,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1733,1_2,3,1733,NKAKAA/1733,2,4,1733,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7314,1_2,3,7314,NKAKAA/7314,2,4,7314,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6033,1_2,3,6033,NKRUMAKROM B/6033,2,4,6033,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1806,1_2,3,1806,NSINSEM/1806,2,4,1806,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1840,1_2,3,1840,NTONSO/1840,2,4,1840,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1861,1_2,3,1861,NYAME BEKYERE/1861,2,4,1861,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1877,1_2,3,1877,NYAMEBEKYERE A/1877,2,4,1877,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1874,1_2,3,1874,NYAMEBEKYERE/1874,2,4,1874,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1913,1_2,3,1913,OBENG A/1913,2,4,1913,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1933,1_2,3,1933,ODUMASE/1933,2,4,1933,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_1937,1_2,3,1937,ODUMASE/1937,2,4,1937,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2013,1_2,3,2013,OWUSUAKROM/2013,2,4,2013,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2014,1_2,3,2014,OWUSUKROM/2014,2,4,2014,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2031,1_2,3,2031,PATAHO/2031,2,4,2031,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2049,1_2,3,2049,PEPESA/2049,2,4,2049,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7955,1_2,3,7955,PIESO/7955,2,4,7955,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2071,1_2,3,2071,PLATO 2/2071,2,4,2071,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2146,1_2,3,2146,SIENCHEM/2146,2,4,2146,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6683,1_2,3,6683,SIMPA 2/6683,2,4,6683,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6499,1_2,3,6499,SIMPA A/6499,2,4,6499,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3470,1_2,3,3470,SIMPA I/3470,2,4,3470,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3471,1_2,3,3471,SIMPA II/3471,2,4,3471,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2160,1_2,3,2160,SIMPA/2160,2,4,2160,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3421,1_2,3,3421,TARKWA BANSO I/3421,2,4,3421,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_6684,1_2,3,6684,TARKWA BANSO/6684,2,4,6684,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7957,1_2,3,7957,TETTEH  NKWANTA/7957,2,4,7957,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2236,1_2,3,2236,TETTEH KROM/2236,2,4,2236,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_7586,1_2,3,7586,TETTEH NKWANTA/7586,2,4,7586,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2300,1_2,3,2300,WASAMAMPONG A/2300,2,4,2300,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2296,1_2,3,2296,WASSA DUNKWA A/2296,2,4,2296,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3538,1_2,3,3538,WASSA DUNKWA C/3538,2,4,3538,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_3549,1_2,3,3549,YEBOAKROM/3549,2,4,3549,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_2577,1_2,3,2577,YIRASE/2577,2,4,2577,1_2_4,1_2_3,1_2_4,,,,,,,
1_2_3_81,1_2,3,81,ABUOKUWA/81,2,7,81,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_84,1_2,3,84,ABUOM B/84,2,7,84,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_190,1_2,3,190,ADZEAYEPENA/190,2,7,190,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_191,1_2,3,191,ADZENEWODZE/191,2,7,191,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6574,1_2,3,6574,AHAMADONKO/6574,2,7,6574,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_250,1_2,3,250,AHOMADONKO/250,2,7,250,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_288,1_2,3,288,AKROMA/288,2,7,288,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_306,1_2,3,306,AKYEMFO/306,2,7,306,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_317,1_2,3,317,AMAFOPONGKWEKUBOA/317,2,7,317,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_3390,1_2,3,3390,AMANOR/3390,2,7,3390,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_404,1_2,3,404,ANKOBEA/404,2,7,404,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_8414,1_2,3,8414,ANKOBEA/8414,2,7,8414,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_7045,1_2,3,7045,ANNORGOR/7045,2,7,7045,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_553,1_2,3,553,ASIKUMA I/553,2,7,553,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_554,1_2,3,554,ASIKUMA II/554,2,7,554,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6516,1_2,3,6516,ASIKUMA L/6516,2,7,6516,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_667,1_2,3,667,AYEWASE/667,2,7,667,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6586,1_2,3,6586,AYIPEY I/6586,2,7,6586,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_680,1_2,3,680,AYIPEY II/680,2,7,680,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_679,1_2,3,679,AYIPEY/679,2,7,679,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_705,1_2,3,705,BANIEKROM/705,2,7,705,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_735,1_2,3,735,BENIN/735,2,7,735,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_3391,1_2,3,3391,BESEASE ASENTEM/3391,2,7,3391,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_810,1_2,3,810,BOBIKUMA/810,2,7,810,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_826,1_2,3,826,BOINZAN/826,2,7,826,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_860,1_2,3,860,BONSUNYINA/860,2,7,860,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6529,1_2,3,6529,BOSOMASE/6529,2,7,6529,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6672,1_2,3,6672,BOSUNYINA/6672,2,7,6672,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_8092,1_2,3,8092,BRAKWA 1/8092,2,7,8092,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_878,1_2,3,878,BRAKWA I/878,2,7,878,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_879,1_2,3,879,BRAKWA II/879,2,7,879,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6530,1_2,3,6530,BRAKWA III./6530,2,7,6530,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_880,1_2,3,880,BRAKWA III/880,2,7,880,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_881,1_2,3,881,BRAKWA IV/881,2,7,881,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_998,1_2,3,998,DENYASE/998,2,7,998,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1061,1_2,3,1061,DONKORKROM/1061,2,7,1061,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1117,1_2,3,1117,ESIAM/1117,2,7,1117,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1276,1_2,3,1276,JAMRA II/1276,2,7,1276,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1277,1_2,3,1277,JAMRA KOKOADO/1277,2,7,1277,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6598,1_2,3,6598,JAMRA/6598,2,7,6598,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1319,1_2,3,1319,KAWANOPADO/1319,2,7,1319,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6676,1_2,3,6676,KOFI DADEZEKWA/6676,2,7,6676,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1362,1_2,3,1362,KOKOADO/1362,2,7,1362,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1365,1_2,3,1365,KOKOBEN/1365,2,7,1365,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_3053,1_2,3,3053,KOKOKROM/3053,2,7,3053,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1431,1_2,3,1431,KUNTINASE 1/1431,2,7,1431,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1440,1_2,3,1440,KWABENAKWA/1440,2,7,1440,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6539,1_2,3,6539,KWAMANG/6539,2,7,6539,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6604,1_2,3,6604,KWAMANG/6604,2,7,6604,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_7320,1_2,3,7320,KWAMANG/7320,2,7,7320,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1690,1_2,3,1690,MOTOPENESO/1690,2,7,1690,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1713,1_2,3,1713,NAMPONG/1713,2,7,1713,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1714,1_2,3,1714,NAMPONG-NINTA/1714,2,7,1714,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_7683,1_2,3,7683,NKOKORAM/7683,2,7,7683,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1930,1_2,3,1930,ODOBEN I/1930,2,7,1930,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_3389,1_2,3,3389,ODOBEN II/3389,2,7,3389,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1936,1_2,3,1936,ODUMASE KOKWADO/1936,2,7,1936,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_1951,1_2,3,1951,OFORIKWA/1951,2,7,1951,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6618,1_2,3,6618,OSAAKROM/6618,2,7,6618,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_2003,1_2,3,2003,OTOBOA/2003,2,7,2003,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_2051,1_2,3,2051,PESEWKROM/2051,2,7,2051,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_2105,1_2,3,2105,SANKORE/2105,2,7,2105,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_2233,1_2,3,2233,TEPAKROM/2233,2,7,2233,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_2332,1_2,3,2332,YAYANO/2332,2,7,2332,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6565,1_2,3,6565,YEKUKWA/6565,2,7,6565,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_2339,1_2,3,2339,YEKUKWAA/2339,2,7,2339,1_2_7,1_2_3,1_2_7,,,,,,,
1_2_3_6776,1_2,3,6776,ABOABOSO/6776,2,27,6776,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_209,1_2,3,209,AFFIENA/209,2,27,209,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_7294,1_2,3,7294,AGYADUM A/7294,2,27,7294,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3532,1_2,3,3532,AKOKOAMMON/3532,2,27,3532,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_304,1_2,3,304,AKYEKYERE/304,2,27,304,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_6170,1_2,3,6170,AMOAMANG A/6170,2,27,6170,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_357,1_2,3,357,AMOAMANG/357,2,27,357,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_6185,1_2,3,6185,ANAKUM A/6185,2,27,6185,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_7836,1_2,3,7836,ANAKUM/7836,2,27,7836,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_433,1_2,3,433,ANWIA BOI/433,2,27,433,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_510,1_2,3,510,ASANKRAGWA A/510,2,27,510,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_570,1_2,3,570,ASUMANKROM/570,2,27,570,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_581,1_2,3,581,ASUOHYIAM A/581,2,27,581,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3546,1_2,3,3546,ASUOHYIAM/3546,2,27,3546,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3355,1_2,3,3355,BOKAKORE/3355,2,27,3355,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3356,1_2,3,3356,BONUAMA/3356,2,27,3356,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_7580,1_2,3,7580,BREMAN/7580,2,27,7580,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_897,1_2,3,897,BREMANG/897,2,27,897,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_7298,1_2,3,7298,DOKORESO/7298,2,27,7298,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_7514,1_2,3,7514,DWIRIGUM/7514,2,27,7514,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1161,1_2,3,1161,FORDJOURKROM/1161,2,27,1161,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1163,1_2,3,1163,FORDJOURKROM/1163,2,27,1163,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1212,1_2,3,1212,GYAMAN B/1212,2,27,1212,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1209,1_2,3,1209,GYARMAN A/1209,2,27,1209,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3530,1_2,3,3530,GYARMAN/3530,2,27,3530,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_2629,1_2,3,2629,JERUSALEM  A/2629,2,27,2629,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1281,1_2,3,1281,JERUSALEM/1281,2,27,1281,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3541,1_2,3,3541,KAMASO/3541,2,27,3541,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_5640,1_2,3,5640,KODUAKROM/5640,2,27,5640,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1358,1_2,3,1358,KOJO NKWANTA/1358,2,27,1358,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3542,1_2,3,3542,KWABENG A/3542,2,27,3542,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3342,1_2,3,3342,KWABENG B/3342,2,27,3342,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3543,1_2,3,3543,KWABENG B/3543,2,27,3543,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3346,1_2,3,3346,KYEAGYEI/3346,2,27,3346,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3545,1_2,3,3545,KYEAGYEI/3545,2,27,3545,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1565,1_2,3,1565,MANGOASE/1565,2,27,1565,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1710,1_2,3,1710,NAKABA/1710,2,27,1710,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1750,1_2,3,1750,NKRANKROM/1750,2,27,1750,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3352,1_2,3,3352,NKWANTANUM/3352,2,27,3352,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1923,1_2,3,1923,ODA ANHWIAM/1923,2,27,1923,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1925,1_2,3,1925,ODA KOTOAMSO/1925,2,27,1925,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_2406,1_2,3,2406,ODA TANOGYA A/2406,2,27,2406,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1927,1_2,3,1927,ODA-KOTOMSO/1927,2,27,1927,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1934,1_2,3,1934,ODUMASE/1934,2,27,1934,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_1938,1_2,3,1938,ODUMASE/1938,2,27,1938,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_2085,1_2,3,2085,SAA DOMPIM/2085,2,27,2085,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_2158,1_2,3,2158,SIKA NTI A/2158,2,27,2158,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_7204,1_2,3,7204,SIKA NTI/7204,2,27,7204,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_2161,1_2,3,2161,SODOLI/2161,2,27,2161,1_2_27,1_2_3,1_2_27,,,,,,,
1_2_3_3369,1_2,3,3369,SOMPRE/3369,2,27,3369,1_2_27,1_2_3,1_2_27,,,,,,,
